URI_Name,Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Tipo,Regimen Escolar
COLEGIODEBACHILLERATOPARTICULARIBEROAMERICANOSANAGUST�N,Loja_Province,LOJA,VALLE,-3,973193311630,-79,199473560600,COLEGIO DE BACHILLERATO PARTICULAR IBEROAMERICANO SAN AGUST�N,AGUSTIN CARRION  AVENIDA SALVADOR BUSTAMANTE CELI 
COLEGIODEBACHILLERATOPARTICULARMIGUELANGELSUAREZ,Loja_Province,LOJA,VALLE,-3,981580627790,-79,201751348800,COLEGIO DE BACHILLERATO PARTICULAR MIGUEL ANGEL SUAREZ,AV SALVADOR BUSTAMANTE CELI  AV GUAYAQUIL Y PASAJE 
COLEGIODEBACHILLERATOPARTICULARPARAPCEIDRJOSEMARIAVIVARCASTRO,Loja_Province,LOJA,SUCRE,-3,980643,-79,224691,COLEGIO DE BACHILLERATO PARTICULAR PARA PCEI DR JOSE MARIA VIVAR CASTRO,BELEN BAJO  CALLE CHARITY 0000000 BUENA VENTURA 
COLEGIODEBACHILLERATOPARTICULARPCEIAMAZONAS,Loja_Province,LOJA,ELSAGRARIO,-3,999989050690,-79,204970791400,COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS,AVENIDA MANUEL AGUSTIN AGUIRRE 1063 ENTRE MIGUEL RIOFRIO Y AZUAY 
COLEGIODEBACHILLERATOPARTICULARPCEIAMAZONAS,Loja_Province,LOJA,SUCRE,-3,999861389480,-79,204484846000,COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS,AV MANUEL AGUISTIN AGUIRRE 10-63 AZUAY Y MIGUEL RIOFRIO 
COLEGIODEBACHILLERATOPARTICULARPCEIISIDROAYORACUEVA,Loja_Province,LOJA,SANSEBASTIAN,-4,2499462840,-79,195222843500,COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA,AV. EMILIANO ORTEGA 1101-93 LOURDES 
COLEGIODEBACHILLERATOPARTICULARSANGERARDO,Loja_Province,LOJA,SANSEBASTIAN,-4,52107090030,-79,195698823000,COLEGIO DE BACHILLERATO PARTICULAR SAN GERARDO,KM  TRES Y MEDIO   VIA VILCABAMBA 1171 SIN NOMBRE 
COLEGIODEBACHILLERATOPCEIPIOJARAMILLOALVARADO,Loja_Province,LOJA,SANSEBASTIAN,-4,3418391250,-79,201883897400,COLEGIO DE BACHILLERATO PCEI  PIO JARAMILLO ALVARADO,BOL�VAR 1479 CATACOCHA 
COLEGIODEBACHILLERATOPEDROVICTORFALCONI,Loja_Province,CATAMAYO,ZAMBI,-3,912498028020,-79,531110952400,COLEGIO DE BACHILLERATO PEDRO VICTOR FALCONI,   Calle sin nombre entrada a la parroquia Colina Alta
COLEGIODEBACHILLERATOPINDAL,Loja_Province,PINDAL,PINDAL,-4,116250852770,-80,104557955300,COLEGIO DE BACHILLERATO PINDAL,   BARRIO EL PANECILLO
COLEGIODEBACHILLERATOPRESIDENTEISIDROAYORA,Loja_Province,LOJA,SUCRE,-3,983334234820,-79,218053750300,COLEGIO DE BACHILLERATO PRESIDENTE ISIDRO AYORA,AVENIDA VIRGILIO RODAS  SIN NOMBRE 
COLEGIODEBACHILLERATOPROCERJOSEPICOITA,Loja_Province,CELICA,CRUZPAMBA,-4,161499346540,-80,857224600,COLEGIO DE BACHILLERATO PROCER JOSE PICOITA,   PARROQUIA CRUZPAMBA
COLEGIODEBACHILLERATORAFAELRODRIGUEZPALACIOS,Loja_Province,LOJA,MALACATOS(VALLADOLID),-4,219218086810,-79,258502740100,COLEGIO DE BACHILLERATO RAFAEL RODRIGUEZ PALACIOS,   VIA A MALACATOS
COLEGIODEBACHILLERATORAMONRIOFRIOBUSTAMANTE,Loja_Province,PINDAL,CHAQUINAL,-4,46448046110,-80,36580792600,COLEGIO DE BACHILLERATO RAMON RIOFRIO BUSTAMANTE,   CHAQUINAL
COLEGIODEBACHILLERATOROSAHERLINDAGARCIADEGARCIA,Loja_Province,ESPINDOLA,AMALUZA,-4,580168164590,-79,428361414700,COLEGIO DE BACHILLERATO ROSA HERLINDA GARCIA DE GARCIA,LUIS CORDERO  LUIS CORDERO 
COLEGIODEBACHILLERATORVDOJORGESANCHEZMORENO,Loja_Province,MACARA,SABIANGO(LACAPILLA),-4,367053430950,-79,812385781100,COLEGIO DE BACHILLERATO RVDO JORGE SANCHEZ MORENO,   CALLE MACARA Y AV. MACARA
COLEGIODEBACHILLERATOSANPEDRODEVILCABAMBA,Loja_Province,LOJA,SANPEDRODEVILCABAMBA,-4,238250233730,-79,217721652800,COLEGIO DE BACHILLERATO SAN PEDRO DE VILCABAMBA,   BARRIO PANECILLO
COLEGIODEBACHILLERATOSANVICENTEFERRER,Loja_Province,LOJA,CHUQUIRIBAMBA,-3,844691246550,-79,341775705000,COLEGIO DE BACHILLERATO SAN VICENTE FERRER,   BARRIO SAN VICENTE
COLEGIODEBACHILLERATOTNTEMAXIMILIANORODRIGUEZ,Loja_Province,CELICA,POZUL(SANJUANDEPOZUL),-4,116750041580,-80,59027496600,COLEGIO DE BACHILLERATO TNTE MAXIMILIANO RODRIGUEZ,   PARROQUIA POZUL
COLEGIODEBACHILLERATOTRECEDENOVIEMBRE,Loja_Province,CELICA,SABANILLA,-4,208333502330,-80,125834188900,COLEGIO DE BACHILLERATO TRECE DE NOVIEMBRE,   PARROQUIA SABANILLA
COLEGIODEBACHILLERATOVILCABAMBA,Loja_Province,LOJA,VILCABAMBA(VICTORIA),-4,261248298100,-79,219055930800,COLEGIO DE BACHILLERATO VILCABAMBA,   AV  DIEGO VACA DE VEGA  Y LA PAZ KM 1 VIA A YAMBURARA
COLEGIODEBACHILLERATOZAPOTILLO,Loja_Province,ZAPOTILLO,ZAPOTILLO,-4,385360901180,-80,243582264600,COLEGIO DE BACHILLERATO ZAPOTILLO,CALLE PALETILLAS  9 DE OCTUBRE 
COLEGIONACIONALNOCTURNOCATAMAYO,Loja_Province,CATAMAYO,CATAMAYO,-3,985309193160,-79,363083142700,COLEGIO NACIONAL NOCTURNO CATAMAYO,18 DE AGOSTO 04-55 ENTRE OLMEDO Y EUGENIO ESPEJO BARRIO EL PORVENIR 
ESCUELADEEDUCACIONBASICACABOCASTILLO,Loja_Province,ESPINDOLA,BELLAVISTA,-4,504997302730,-79,452502695800,ESCUELA DE EDUCACION BASICA CABO CASTILLO,   BARRIO JIBIRUCHE
COLEGIODEBACHILLERATOFRONTERASUR,Loja_Province,PALTAS,CANGONAMA,-3,966531349250,-79,701113150000,COLEGIO DE BACHILLERATO FRONTERA SUR,   A 50 METROS DEL PARQUE
ESCUELADEEDUCACIONBASICAGENERALMOISESOLIVA,Loja_Province,CALVAS,UTUANA,-4,362196707140,-79,724440858500,ESCUELA DE EDUCACION BASICA GENERAL MOISES OLIVA,   PARROQUIA UTUANA
ESCUELADEEDUCACI�NB�SICALAURODAMERVALAYORAN1,Loja_Province,LOJA,SANSEBASTIAN,-4,13392763880,-79,206247185700,ESCUELA DE EDUCACI�N B�SICA LAURO DAMERVAL AYORA N 1,AVENIDA BENJAMIN CARRION 21197 PABLO PALACIO 
COLEGIODEBACHILLERATOMANUELJOSEJARAMILLO,Loja_Province,PALTAS,CASANGA,-4,13860840450,-79,764669716300,COLEGIO DE BACHILLERATO MANUEL  JOSE  JARAMILLO,   CENTRO PARROQUIA CASANGA - TRAS LA IGLESIA
COLEGIODEBACHILLERATOMACANDAMINE,Loja_Province,PALTAS,CASANGA,-4,15836873880,-79,726334799900,COLEGIO DE BACHILLERATO MACANDAMINE,   BARRIO MACANDAMINE
INSTITUTOTECNOLOGICOSUPERIORCARIAMANGA,Loja_Province,CALVAS,CARIAMANGA,-4,333292134730,-79,554744698000,INSTITUTO TECNOLOGICO SUPERIOR CARIAMANGA,JOSE ANGEL PALACIOS  GONZALEZ SUARES Y  MIGUEL PERALTA 
JOSEMARIAVELAZSJEXTENSIONN2CATAMAYO,Loja_Province,CATAMAYO,CATAMAYO,-3,990003605240,-79,359057729000,JOSE MARIA VELAZ SJ EXTENSION N2 CATAMAYO,NUEVE DE OCTUBRE 00 BOLIVAR Y EUGENIO ESPEJO 
RAMONSAMANIEGOPALACIOS,Loja_Province,PUYANGO,ELARENAL,-3,961694590280,-79,986836296300,RAMON SAMANIEGO PALACIOS,   VIA PRINCIPAL DE EL ARENAL
UNIDADEDUCATIVAFISCOMISIONALDOMINGOCELI,Loja_Province,PALTAS,CATACOCHA,-4,49385996540,-79,649941486600,UNIDAD EDUCATIVA FISCOMISIONAL DOMINGO CELI,DOMINGO CELI 7302 PALTAS E INDEPENDENCIA 
TECNICOPUYANGO,Loja_Province,PUYANGO,ALAMOR,-4,16247769350,-80,23861815100,TECNICO PUYANGO,GABRIEL CAIZA  SUCRE 
U.E.ELOYALFARO,Loja_Province,CALVAS,SANVICENTE,-4,330880748470,-79,551767147900,U. E. ELOY ALFARO,   BARRIO SAN VICENTE
UNIDADEDUCATIVAPEDROVICENTEMALDONADO,Loja_Province,SARAGURO,ELPARAISODECELEN,-3,623412,-79,24087,UNIDAD EDUCATIVA PEDRO VICENTE MALDONADO,   CENTRO CELEN  VAUDILIO ARIAS Y VEINTE Y CUATRO  DE MAYO
UNIDADEDUCATIUVANAMBACOLA,Loja_Province,GONZANAMA,NAMBACOLA,-4,133852,-79,423759,UNIDAD EDUCATIUVA NAMBACOLA,   A DOSCIENTOS METROS DEL PARQUE CENTRAL
UNIDADEDUCATIVACORAZONDEMARIA,Loja_Province,LOJA,ELCISNE,-3,850611385830,-79,425666649000,UNIDAD EDUCATIVA  CORAZON DE MARIA,   JUNTO AL CAMPO MARIANO
UNIDADEDUCATIVAFISCOMISIONALJULIOERNESTOCELI,Loja_Province,ESPINDOLA,JIMBURA,-4,626669280760,-79,461389795200,UNIDAD EDUCATIVA  FISCOMISIONAL JULIO ERNESTO CELI,   CALLE 24 DE ABRIL Y AVENIDA AMALUZA
UNIDADEDUCATIVAMARIAAUXILIADORA,Loja_Province,CALVAS,CARIAMANGA,-4,327301190120,-79,557458893100,UNIDAD EDUCATIVA  MARIA AUXILIADORA,   BARRIO  CENTRAL
UNIDADEDUCATIVABERNARDOVALDIVIESO,Loja_Province,LOJA,SANSEBASTIAN,-4,9221001990,-79,200691671000,UNIDAD EDUCATIVA BERNARDO VALDIVIESO,AV. EDUARDO KINGMAN 00 PABLO NERUDA Y CATAMAYO 
UNIDADEDUCATIVABRASIL,Loja_Province,ZAPOTILLO,ZAPOTILLO,-4,382505,-80,238594,UNIDAD EDUCATIVA BRASIL,   BARRIO CEIBA CHICA
COLEGIODEBACHILLERATO29DEMAYO,Loja_Province,PALTAS,GUACHANAMA,-4,47777620680,-79,881945984700,COLEGIO DE BACHILLERATO 29 DE MAYO,   PARROQUIA GUACHANAMA BARRIO CENTRAL
